seq_name	lmbda	rate_bpp	psnr_db	share_rate_latent
biville	0.0001	1.935272	40.29974	0.9959
biville	0.0002	1.599949	38.443562	0.995458
biville	0.0003	1.397115	37.016777	0.994784
biville	0.0004	1.255278	36.08749	0.994717
biville	0.0005	1.048725	34.698223	0.992796
biville	0.0008	0.719917	32.453503	0.990607
biville	0.001	0.605089	31.644508	0.98677
biville	0.002	0.30404	29.359135	0.979106
biville	0.003	0.248361	28.816359	0.974065
biville	0.004	0.156044	27.562519	0.95973
biville	0.005	0.166019	27.734432	0.962138
biville	0.008	0.092196	26.730566	0.933018
biville	0.01	0.07531	26.483444	0.922227
biville	0.02	0.043335	25.448318	0.85038
