seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
B-BQTerrace_1920x1080_50p_yuv420_8b	0.0001	1.0747646604938272	2073600	40.62060361252997	0.380984	0.0432314	0.546965	0.0	0.0	0.998102
B-BQTerrace_1920x1080_50p_yuv420_8b	0.0004	0.5163503086419753	2073600	37.26901304105222	0.207351	0.0199458	0.131705	0.0	0.0	0.373503
B-BQTerrace_1920x1080_50p_yuv420_8b	0.001	0.3366975308641975	2073600	35.05566171879969	0.186149	0.0186523	0.126895	0.0	0.0	0.344263
B-BQTerrace_1920x1080_50p_yuv420_8b	0.004	0.15424382716049384	2073600	31.857851663365313	0.103475	0.0375933	0.493596	0.0	0.0	0.653117
B-BQTerrace_1920x1080_50p_yuv420_8b	0.02	0.05779706790123457	2073600	28.064542274054457	0.0684432	0.0603608	0.956559	0.0	0.0	1.10956
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.0001	0.34521219135802467	2073600	41.630434602272636	0.324688	0.045217	0.548389	0.0	0.0	0.944555
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.0004	0.15484567901234567	2073600	39.83893890195426	0.113972	0.0198515	0.129922	0.0	0.0	0.275863
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.001	0.09868055555555555	2073600	38.60715429059218	0.0783468	0.0184552	0.175743	0.0	0.0	0.283896
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.004	0.04857638888888889	2073600	36.515061165773865	0.0537413	0.0373546	0.493622	0.0	0.0	0.603
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.02	0.019602623456790123	2073600	32.98536241929575	0.0149411	0.0492522	0.144357	0.0	0.0	0.234907
B-Cactus_1920x1080_50p_yuv420_8b	0.0001	0.7838888888888889	2073600	40.189055223355446	0.385471	0.0425371	0.555583	0.0	0.0	1.009
B-Cactus_1920x1080_50p_yuv420_8b	0.0004	0.3521026234567901	2073600	37.78913161741529	0.156894	0.0191279	0.130723	0.0	0.0	0.317773
B-Cactus_1920x1080_50p_yuv420_8b	0.001	0.21346450617283952	2073600	36.10969418443251	0.0925652	0.0205998	0.128801	0.0	0.0	0.2546
