lmbda	rate_bpp	psnr_db	share_rate_latent
0.0001	1.737204167	40.82230069	0.990316416
0.0002	1.346308333	38.6965507	0.987922811
0.0003	1.161404167	37.47454989	0.986107842
0.0004	1.014379167	36.43719354	0.984004163
0.0005	0.908108333	35.69075044	0.982944632
0.0008	0.720129167	34.09087931	0.978037816
0.001	0.613258333	33.13077027	0.974906987
0.002	0.403120833	31.01683301	0.962743749
0.003	0.307725	29.79495364	0.951760701
0.004	0.2463375	28.91071224	0.940053242
0.005	0.210529167	28.35419987	0.931770109
0.008	0.149341667	27.19623076	0.90476323
0.01	0.127641667	26.72833849	0.890622834
0.02	0.077091667	25.26493415	0.826948503
