seq_name	lmbda	rate_bpp	psnr_db
kodim01	0.0001	2.4696	40.601
kodim01	0.0005	1.4829	34.8102
kodim01	0.004	0.371	26.988
kodim01	0.02	0.1109	23.6792
kodim02	0.0001	1.3428	40.4517
kodim02	0.0005	0.5237	35.4209
kodim02	0.004	0.1019	30.4926
kodim02	0.02	0.0318	27.7049
kodim03	0.0001	1.027	42.3178
kodim03	0.0005	0.513	37.7983
kodim03	0.004	0.1115	31.0926
kodim03	0.02	0.0435	28.4703
kodim04	0.0001	1.5378	40.7992
kodim04	0.0005	0.6394	35.4908
kodim04	0.004	0.1556	30.4595
kodim04	0.02	0.0492	27.3324
kodim05	0.0001	2.5733	40.4854
kodim05	0.0005	1.5016	34.5922
kodim05	0.004	0.5677	27.6504
kodim05	0.02	0.1735	23.0169
kodim06	0.0001	2.0338	40.8979
kodim06	0.0005	1.1331	35.8004
kodim06	0.004	0.2915	27.8002
kodim06	0.02	0.0635	23.9723
kodim07	0.0001	1.1959	41.7904
kodim07	0.0005	0.607	37.254
kodim07	0.004	0.2242	31.4992
kodim07	0.02	0.0855	27.0282
kodim08	0.0001	2.6173	40.2199
kodim08	0.0005	1.5615	34.9526
kodim08	0.004	0.6078	27.4108
kodim08	0.02	0.2092	22.899
kodim09	0.0001	1.078	40.7117
kodim09	0.0005	0.5471	37.2129
kodim09	0.004	0.1535	31.3368
kodim09	0.02	0.0611	27.6873
kodim10	0.0001	1.1421	40.6443
kodim10	0.0005	0.5734	37.0355
kodim10	0.004	0.1568	31.1256
kodim10	0.02	0.0539	26.9667
kodim11	0.0001	1.9094	40.9852
kodim11	0.0005	0.9526	35.2824
kodim11	0.004	0.2201	28.3504
kodim11	0.02	0.0694	25.2794
kodim12	0.0001	1.2537	41.549
kodim12	0.0005	0.5206	36.3315
kodim12	0.004	0.1074	31.0451
kodim12	0.02	0.0463	28.5875
kodim13	0.0001	3.2897	39.9409
kodim13	0.0005	2.0187	34.1603
kodim13	0.004	0.6527	26.1415
kodim13	0.02	0.1663	21.8665
kodim14	0.0001	2.3138	40.2422
kodim14	0.0005	1.3006	34.7007
kodim14	0.004	0.3455	28.1829
kodim14	0.02	0.1038	24.3168
kodim15	0.0001	1.4461	41.0685
kodim15	0.0005	0.6218	36.0522
kodim15	0.004	0.1523	30.3638
kodim15	0.02	0.0548	27.5718
kodim16	0.0001	1.453	41.5415
kodim16	0.0005	0.6848	35.9921
kodim16	0.004	0.15	29.2817
kodim16	0.02	0.038	26.6883
kodim17	0.0001	1.3415	40.7453
kodim17	0.0005	0.6521	36.4666
kodim17	0.004	0.1878	30.5722
kodim17	0.02	0.0685	26.9707
kodim18	0.0001	2.3448	39.8264
kodim18	0.0005	1.2081	34.4463
kodim18	0.004	0.4142	28.2785
kodim18	0.02	0.0807	23.7372
kodim19	0.0001	1.6466	40.4897
kodim19	0.0005	0.8841	35.4706
kodim19	0.004	0.2141	29.2371
kodim19	0.02	0.073	25.1263
kodim20	0.0001	1.1586	41.4795
kodim20	0.0005	0.6701	37.2703
kodim20	0.004	0.1512	30.8435
kodim20	0.02	0.0584	27.3706
kodim21	0.0001	1.6645	40.4976
kodim21	0.0005	0.9865	36.2208
kodim21	0.004	0.277	28.5838
kodim21	0.02	0.0803	24.6919
kodim22	0.0001	1.9998	40.3036
kodim22	0.0005	0.9032	34.6233
kodim22	0.004	0.2065	28.7219
kodim22	0.02	0.06	25.6202
kodim23	0.0001	0.9506	41.6834
kodim23	0.0005	0.4492	37.8908
kodim23	0.004	0.1414	32.2467
kodim23	0.02	0.0553	28.1507
kodim24	0.0001	2.1935	40.9184
kodim24	0.0005	1.2395	35.2164
kodim24	0.004	0.4008	28.341
kodim24	0.02	0.1113	23.7992
