seq	lambda	rate_bpp	psnr_db
kodim01	0.0001	2.469584147	40.53910997
kodim01	0.0005	1.482930501	34.79325625
kodim01	0.004	0.371032715	26.98512253
kodim01	0.02	0.110860189	23.67770195
kodim02	0.0001	1.342793783	40.38887902
kodim02	0.0005	0.523701986	35.40175272
kodim02	0.004	0.101908366	30.48660185
kodim02	0.02	0.031840007	27.7014346
kodim03	0.0001	1.027038574	42.22406477
kodim03	0.0005	0.513041178	37.76341312
kodim03	0.004	0.11151123	31.08553512
kodim03	0.02	0.043477376	28.4668662
kodim04	0.0001	1.537780762	40.73435834
kodim04	0.0005	0.639424642	35.47234404
kodim04	0.004	0.155619303	30.45324262
kodim04	0.02	0.049173991	27.32964532
kodim05	0.0001	2.573262533	40.42537536
kodim05	0.0005	1.501566569	34.57673196
kodim05	0.004	0.567728678	27.6472157
kodim05	0.02	0.173522949	23.01587185
kodim06	0.0001	2.033793132	40.83441917
kodim06	0.0005	1.133076986	35.78012387
kodim06	0.004	0.291524251	27.79710117
kodim06	0.02	0.063496908	23.97080447
kodim07	0.0001	1.195902507	41.70912708
kodim07	0.0005	0.606953939	37.22418627
kodim07	0.004	0.224222819	31.49127683
kodim07	0.02	0.085469564	27.02525533
kodim08	0.0001	2.617289225	40.16210632
kodim08	0.0005	1.561462402	34.93540073
kodim08	0.004	0.607767741	27.40767921
kodim08	0.02	0.209248861	22.89803459
kodim09	0.0001	1.077982585	40.64710385
kodim09	0.0005	0.547139486	37.18332734
kodim09	0.004	0.153503418	31.32935602
kodim09	0.02	0.061136882	27.683776
kodim10	0.0001	1.142110189	40.57941058
kodim10	0.0005	0.573425293	37.00805862
kodim10	0.004	0.156840007	31.1179352
kodim10	0.02	0.053894043	26.96381287
kodim11	0.0001	1.909362793	40.91540181
kodim11	0.0005	0.952575684	35.26323899
kodim11	0.004	0.220072428	28.34643549
kodim11	0.02	0.069437663	25.27755628
kodim12	0.0001	1.253682454	41.4734309
kodim12	0.0005	0.520609538	36.3074744
kodim12	0.004	0.10736084	31.03826425
kodim12	0.02	0.046325684	28.58337272
kodim13	0.0001	3.289652507	39.88684436
kodim13	0.0005	2.018656413	34.14664146
kodim13	0.004	0.652689616	26.13924211
kodim13	0.02	0.166280111	21.86570778
kodim14	0.0001	2.313822428	40.185272
kodim14	0.0005	1.300638835	34.68472408
kodim14	0.004	0.345479329	28.17953605
kodim14	0.02	0.103780111	24.31537134
kodim15	0.0001	1.446146647	41.0023212
kodim15	0.0005	0.621846517	36.03045367
kodim15	0.004	0.152282715	30.35788543
kodim15	0.02	0.054789225	27.56887732
kodim16	0.0001	1.452982585	41.46564818
kodim16	0.0005	0.684753418	35.97038521
kodim16	0.004	0.150004069	29.27668491
kodim16	0.02	0.038024902	26.68567615
kodim17	0.0001	1.341491699	40.68021983
kodim17	0.0005	0.652119954	36.44249056
kodim17	0.004	0.187845866	30.56590217
kodim17	0.02	0.0684611	26.96822234
kodim18	0.0001	2.344828288	39.77227659
kodim18	0.0005	1.208109538	34.43020441
kodim18	0.004	0.414245605	28.27482355
kodim18	0.02	0.080749512	23.73600679
kodim19	0.0001	1.6465861	40.42748897
kodim19	0.0005	0.884134928	35.45135576
kodim19	0.004	0.214050293	29.23246237
kodim19	0.02	0.073018392	25.12476496
kodim20	0.0001	1.158630371	41.42865082
kodim20	0.0005	0.67010498	37.25017098
kodim20	0.004	0.151224772	30.83869031
kodim20	0.02	0.058369954	27.36900784
kodim21	0.0001	1.664489746	40.43748571
kodim21	0.0005	0.98651123	36.19754593
kodim21	0.004	0.277038574	28.58011331
kodim21	0.02	0.080342611	24.68999839
kodim22	0.0001	1.999776204	40.24505273
kodim22	0.0005	0.903177897	34.60842197
kodim22	0.004	0.206481934	28.71782381
kodim22	0.02	0.059997559	25.61837716
kodim23	0.0001	0.950622559	41.60415681
kodim23	0.0005	0.449157715	37.85670649
kodim23	0.004	0.141377767	32.23689535
kodim23	0.02	0.055277507	28.14690904
kodim24	0.0001	2.19354248	40.85353295
kodim24	0.0005	1.239522298	35.19994718
kodim24	0.004	0.400817871	28.33737331
kodim24	0.02	0.11126709	23.79782389
