seq_name	lmbda	rate_bpp	n_pixels	psnr_db
B-BQTerrace_1920x1080_50p_yuv420_8b	0.0001	1.103491512345679	2073600	40.43046550213408
B-BQTerrace_1920x1080_50p_yuv420_8b	0.0004	0.5582445987654321	2073600	37.2016665037018
B-BQTerrace_1920x1080_50p_yuv420_8b	0.001	0.3339853395061728	2073600	34.98845996516874
B-BQTerrace_1920x1080_50p_yuv420_8b	0.004	0.17163966049382717	2073600	31.97521020086296
B-BQTerrace_1920x1080_50p_yuv420_8b	0.02	0.06105324074074074	2073600	27.977478132757987
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.0001	0.3593865740740741	2073600	41.63102569041928
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.0004	0.1653125	2073600	39.81305189264408
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.001	0.10636188271604938	2073600	38.64031035445607
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.004	0.05015817901234568	2073600	36.41592955383891
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.02	0.022997685185185184	2073600	33.39661383704904
B-Cactus_1920x1080_50p_yuv420_8b	0.0001	0.8047723765432099	2073600	40.32034499183506
B-Cactus_1920x1080_50p_yuv420_8b	0.0004	0.3842476851851852	2073600	37.836699244605924
B-Cactus_1920x1080_50p_yuv420_8b	0.001	0.2383989197530864	2073600	36.201540775143066
B-Cactus_1920x1080_50p_yuv420_8b	0.004	0.10580632716049383	2073600	33.401601327329395
B-Cactus_1920x1080_50p_yuv420_8b	0.02	0.040358796296296295	2073600	29.934434164886564
B-MarketPlace_1920x1080_60p_yuv420_10b	0.0001	0.5196489197530865	2073600	42.30269073058694
B-MarketPlace_1920x1080_60p_yuv420_10b	0.0004	0.2268865740740741	2073600	39.7824454325719
B-MarketPlace_1920x1080_60p_yuv420_10b	0.001	0.1331983024691358	2073600	38.24747678754501
B-MarketPlace_1920x1080_60p_yuv420_10b	0.004	0.06177854938271605	2073600	35.52348548698932
B-MarketPlace_1920x1080_60p_yuv420_10b	0.02	0.02375385802469136	2073600	32.25397648598783
B-RitualDance_1920x1080_60p_yuv420_10b	0.0001	0.2504050925925926	2073600	46.751395223878745
B-RitualDance_1920x1080_60p_yuv420_10b	0.0004	0.13023533950617283	2073600	43.989250144003655
B-RitualDance_1920x1080_60p_yuv420_10b	0.001	0.08500385802469136	2073600	42.17299601384969
B-RitualDance_1920x1080_60p_yuv420_10b	0.004	0.03654706790123457	2073600	39.51753711023394
B-RitualDance_1920x1080_60p_yuv420_10b	0.02	0.01796682098765432	2073600	36.35036088815295
C-BQMall_832x480_60p_yuv420_8b	0.0001	1.0316706730769232	399360	41.68512641502261
C-BQMall_832x480_60p_yuv420_8b	0.0004	0.5826322115384616	399360	38.172303604740534
C-BQMall_832x480_60p_yuv420_8b	0.001	0.38231169871794873	399360	35.591970907971074
C-BQMall_832x480_60p_yuv420_8b	0.004	0.2116386217948718	399360	31.714201282360264
C-BQMall_832x480_60p_yuv420_8b	0.02	0.08591746794871795	399360	27.644608364008135
C-BasketballDrill_832x480_50p_yuv420_8b	0.0001	0.7809495192307693	399360	42.33659789560783
C-BasketballDrill_832x480_50p_yuv420_8b	0.0004	0.3798277243589744	399360	38.97647510623229
C-BasketballDrill_832x480_50p_yuv420_8b	0.001	0.23110977564102564	399360	36.8807219445647
C-BasketballDrill_832x480_50p_yuv420_8b	0.004	0.11772836538461538	399360	34.0382154461838
C-BasketballDrill_832x480_50p_yuv420_8b	0.02	0.06147836538461538	399360	30.26088978424805
C-PartyScene_832x480_50p_yuv420_8b	0.0001	2.096494391025641	399360	40.47025634687855
C-PartyScene_832x480_50p_yuv420_8b	0.0004	1.1654046474358974	399360	35.96266467092511
C-PartyScene_832x480_50p_yuv420_8b	0.001	0.7621193910256411	399360	33.03150501039103
C-PartyScene_832x480_50p_yuv420_8b	0.004	0.33423477564102566	399360	28.641863880420622
C-PartyScene_832x480_50p_yuv420_8b	0.02	0.11444310897435897	399360	24.40493478266336
C-RaceHorses_832x480_30p_yuv420_8b	0.0001	1.2225360576923077	399360	42.164717023576586
C-RaceHorses_832x480_30p_yuv420_8b	0.0004	0.6823116987179487	399360	38.13692896715038
C-RaceHorses_832x480_30p_yuv420_8b	0.001	0.43904246794871793	399360	35.39476861087025
C-RaceHorses_832x480_30p_yuv420_8b	0.004	0.18848157051282052	399360	31.147524418838934
C-RaceHorses_832x480_30p_yuv420_8b	0.02	0.07397836538461539	399360	28.160266191782796
D-BQSquare_416x240_60p_yuv420_8b	0.0001	1.7417467948717948	99840	41.790356724677935
D-BQSquare_416x240_60p_yuv420_8b	0.0004	1.003926282051282	99840	36.70508078450604
D-BQSquare_416x240_60p_yuv420_8b	0.001	0.7276442307692308	99840	34.36788373394261
D-BQSquare_416x240_60p_yuv420_8b	0.004	0.44527243589743587	99840	30.583769281529815
D-BQSquare_416x240_60p_yuv420_8b	0.02	0.2564903846153846	99840	25.96416783328611
D-BasketballPass_416x240_50p_yuv420_8b	0.0001	0.9872596153846154	99840	42.683392245751186
D-BasketballPass_416x240_50p_yuv420_8b	0.0004	0.5596955128205128	99840	38.69960157476229
D-BasketballPass_416x240_50p_yuv420_8b	0.001	0.3888621794871795	99840	36.26396342765859
D-BasketballPass_416x240_50p_yuv420_8b	0.004	0.23309294871794872	99840	32.90199353643037
D-BasketballPass_416x240_50p_yuv420_8b	0.02	0.15745192307692307	99840	28.778542645670832
D-BlowingBubbles_416x240_50p_yuv420_8b	0.0001	1.6010416666666667	99840	41.07359842278597
D-BlowingBubbles_416x240_50p_yuv420_8b	0.0004	0.8779647435897436	99840	36.74621410602193
D-BlowingBubbles_416x240_50p_yuv420_8b	0.001	0.5673878205128206	99840	33.9776372920879
D-BlowingBubbles_416x240_50p_yuv420_8b	0.004	0.309375	99840	30.36104933377743
D-BlowingBubbles_416x240_50p_yuv420_8b	0.02	0.171875	99840	26.798980351517606
D-RaceHorses_416x240_30p_yuv420_8b	0.0001	1.4721955128205129	99840	42.36779934770284
D-RaceHorses_416x240_30p_yuv420_8b	0.0004	0.8520032051282052	99840	37.84471041389664
D-RaceHorses_416x240_30p_yuv420_8b	0.001	0.5520032051282051	99840	34.655901943243144
D-RaceHorses_416x240_30p_yuv420_8b	0.004	0.3016826923076923	99840	31.048327537361985
D-RaceHorses_416x240_30p_yuv420_8b	0.02	0.19334935897435898	99840	27.518260641429286
E-FourPeople_1280x720_60p_yuv420_8b	0.0001	0.4942447916666667	921600	44.02793127059319
E-FourPeople_1280x720_60p_yuv420_8b	0.0004	0.27407118055555557	921600	41.448290953252084
E-FourPeople_1280x720_60p_yuv420_8b	0.001	0.19671006944444444	921600	39.12478011980301
