seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
B-BQTerrace_1920x1080_50p_yuv420_8b	0.0001	1.0747376543209877	2073600	40.61081588350356	0.406244	0.0306303	0.119827	0.0	0.0	0.580214
B-BQTerrace_1920x1080_50p_yuv420_8b	0.0004	0.5163503086419753	2073600	37.26974415735513	0.364452	0.0332006	0.118006	0.0	0.0	0.555358
B-BQTerrace_1920x1080_50p_yuv420_8b	0.001	0.3366975308641975	2073600	35.0523366483782	0.256377	0.0201796	0.0868382	0.0	0.0	0.379088
B-BQTerrace_1920x1080_50p_yuv420_8b	0.004	0.15424382716049384	2073600	31.856553547168282	0.0723095	0.00956082	0.0595868	0.0	0.0	0.149086
B-BQTerrace_1920x1080_50p_yuv420_8b	0.02	0.05779706790123457	2073600	28.063597872667426	0.0521907	0.0347207	0.112108	0.0	0.0	0.215331
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.0001	0.34521219135802467	2073600	41.62071335967446	0.339935	0.0299855	0.110585	0.0	0.0	0.501969
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.0004	0.15484567901234567	2073600	39.824020888057866	0.21283	0.0321292	0.113231	0.0	0.0	0.382225
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.001	0.09868055555555555	2073600	38.60594535153334	0.116162	0.0205324	0.0859179	0.0	0.0	0.238508
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.004	0.04857638888888889	2073600	36.51493248347913	0.0644951	0.0322947	0.116582	0.0	0.0	0.234377
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.02	0.019602623456790123	2073600	32.98572922446979	0.0133418	0.0251565	0.0955833	0.0	0.0	0.150083
B-Cactus_1920x1080_50p_yuv420_8b	0.0001	0.7838888888888889	2073600	40.182037748651794	0.243306	0.0104158	0.0598815	0.0	0.0	0.322801
B-Cactus_1920x1080_50p_yuv420_8b	0.0004	0.3521026234567901	2073600	37.78535185358514	0.200849	0.0200346	0.0836937	0.0	0.0	0.31771
B-Cactus_1920x1080_50p_yuv420_8b	0.001	0.21346450617283952	2073600	36.10841621354242	0.157002	0.0284711	0.109602	0.0	0.0	0.313161
B-Cactus_1920x1080_50p_yuv420_8b	0.004	0.09859953703703704	2073600	33.31050983051722	0.0837881	0.032617	0.115973	0.0	0.0	0.254121
B-Cactus_1920x1080_50p_yuv420_8b	0.02	0.03617283950617284	2073600	29.85191732071309	0.0105803	0.0104707	0.0594818	0.0	0.0	0.0925802
B-MarketPlace_1920x1080_60p_yuv420_10b	0.0001	0.45798225308641977	2073600	42.264038752161035	0.100396	0.011593	0.0552833	0.0	0.0	0.185942
B-MarketPlace_1920x1080_60p_yuv420_10b	0.0004	0.20293595679012347	2073600	39.83776151989118	0.0941717	0.0194054	0.0839891	0.0	0.0	0.210966
B-MarketPlace_1920x1080_60p_yuv420_10b	0.001	0.11941358024691358	2073600	38.167697058300305	0.0493813	0.0209326	0.0841975	0.0	0.0	0.180033
B-MarketPlace_1920x1080_60p_yuv420_10b	0.004	0.05258873456790124	2073600	35.37278740495446	0.0281372	0.0274445	0.115336	0.0	0.0	0.193638
