seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_blend_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
B-BQTerrace_1920x1080_50p_yuv420_8b	0.0001	1.0934760802469137	2073600	40.72740164527165	0.259375	0.0395045	0.171805	0.0	0.0	0.0	0.495354
B-BQTerrace_1920x1080_50p_yuv420_8b	0.0004	0.5435108024691359	2073600	37.28185161968404	0.205063	0.0216086	0.145393	0.0	0.0	0.0	0.386489
B-BQTerrace_1920x1080_50p_yuv420_8b	0.001	0.34443672839506173	2073600	35.12045911139201	0.157952	0.0221439	0.143148	0.0	0.0	0.0	0.336706
B-BQTerrace_1920x1080_50p_yuv420_8b	0.004	0.16263117283950618	2073600	31.910698404793592	0.0833579	0.0214023	0.144007	0.0	0.0	0.0	0.261472
B-BQTerrace_1920x1080_50p_yuv420_8b	0.02	0.0595408950617284	2073600	28.027618291101362	0.0338077	0.0216325	0.149086	0.0	0.0	0.0	0.217645
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.0001	0.33989969135802467	2073600	41.58176512613228	0.18213	0.0546277	0.117638	0.0	0.0	0.0	0.382128
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.0004	0.15280092592592592	2073600	39.80912250141078	0.126129	0.0237333	0.143632	0.0	0.0	0.0	0.307841
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.001	0.09952546296296297	2073600	38.58800696836387	0.0889482	0.0270226	0.14196	0.0	0.0	0.0	0.278078
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.004	0.04684027777777778	2073600	36.40020046387426	0.0345654	0.0221499	0.139898	0.0	0.0	0.0	0.210047
B-BasketballDrive_1920x1080_50p_yuv420_8b	0.02	0.01931712962962963	2073600	33.08979883000548	0.0159366	0.0240335	0.105926	0.0	0.0	0.0	0.159965
B-Cactus_1920x1080_50p_yuv420_8b	0.0001	0.7982484567901235	2073600	40.25633461999757	0.25231	0.0537468	0.185073	0.0	0.0	0.0	0.516719
B-Cactus_1920x1080_50p_yuv420_8b	0.0004	0.3551929012345679	2073600	37.76430791512217	0.172423	0.0279248	0.146955	0.0	0.0	0.0	0.364794
B-Cactus_1920x1080_50p_yuv420_8b	0.001	0.20976466049382717	2073600	36.132840909204994	0.0853062	0.0424108	0.180973	0.0	0.0	0.0	0.338139
B-Cactus_1920x1080_50p_yuv420_8b	0.004	0.09609182098765433	2073600	33.254945786031385	0.0406315	0.0220172	0.146583	0.0	0.0	0.0	0.223514
B-Cactus_1920x1080_50p_yuv420_8b	0.02	0.035632716049382715	2073600	29.86079463367039	0.0184265	0.0219603	0.151346	0.0	0.0	0.0	0.206585
B-MarketPlace_1920x1080_60p_yuv420_10b	0.0001	0.4582445987654321	2073600	42.19959296919073	0.158444	0.041765	0.105746	0.0	0.0	0.0	0.343744
B-MarketPlace_1920x1080_60p_yuv420_10b	0.0004	0.20228780864197532	2073600	39.88822930009218	0.077698	0.0233607	0.158564	0.0	0.0	0.0	0.276215
B-MarketPlace_1920x1080_60p_yuv420_10b	0.001	0.12202546296296296	2073600	38.22137286794093	0.0493897	0.0289019	0.161192	0.0	0.0	0.0	0.257455
B-MarketPlace_1920x1080_60p_yuv420_10b	0.004	0.05205246913580247	2073600	35.386218244396765	0.0245519	0.0239638	0.156674	0.0	0.0	0.0	0.221941
B-MarketPlace_1920x1080_60p_yuv420_10b	0.02	0.01800154320987654	2073600	32.24445445365744	0.00667809	0.045812	0.10808	0.0	0.0	0.0	0.17773
B-RitualDance_1920x1080_60p_yuv420_10b	0.0001	0.21508487654320987	2073600	47.1851623409541	0.0983292	0.0262747	0.0970854	0.0	0.0	0.0	0.239355
B-RitualDance_1920x1080_60p_yuv420_10b	0.0004	0.10391975308641975	2073600	44.903717928063415	0.0611708	0.0238446	0.155541	0.0	0.0	0.0	0.256987
B-RitualDance_1920x1080_60p_yuv420_10b	0.001	0.06403935185185185	2073600	42.815843065423664	0.0353472	0.0259531	0.161383	0.0	0.0	0.0	0.240027
B-RitualDance_1920x1080_60p_yuv420_10b	0.004	0.031222993827160494	2073600	39.581194030750765	0.00961088	0.0477402	0.102956	0.0	0.0	0.0	0.177981
B-RitualDance_1920x1080_60p_yuv420_10b	0.02	0.015192901234567902	2073600	36.16476905247281	0.0126245	0.03567	0.112711	0.0	0.0	0.0	0.179457
C-BQMall_832x480_60p_yuv420_8b	0.0001	1.0018830128205127	399360	41.72447781888884	0.0494981	0.0145587	0.0316809	0.0	0.0	0.0	0.10669
C-BQMall_832x480_60p_yuv420_8b	0.0004	0.5800480769230769	399360	38.15027386220868	0.0443159	0.00448721	0.0277993	0.0	0.0	0.0	0.0811912
C-BQMall_832x480_60p_yuv420_8b	0.001	0.38475560897435895	399360	35.612587195936236	0.0359926	0.00522849	0.0279569	0.0	0.0	0.0	0.0749803
C-BQMall_832x480_60p_yuv420_8b	0.004	0.18641826923076923	399360	31.775881727691115	0.0178597	0.00503753	0.0280901	0.0	0.0	0.0	0.0567157
C-BQMall_832x480_60p_yuv420_8b	0.02	0.0680488782051282	399360	27.563581230843344	0.00571701	0.00628182	0.0204499	0.0	0.0	0.0	0.038449
C-BasketballDrill_832x480_50p_yuv420_8b	0.0001	0.7574118589743589	399360	42.36473482287454	0.051552	0.00536677	0.028285	0.0	0.0	0.0	0.0902817
C-BasketballDrill_832x480_50p_yuv420_8b	0.0004	0.35540865384615383	399360	38.85864054279904	0.0290365	0.00549759	0.0277799	0.0	0.0	0.0	0.0671774
C-BasketballDrill_832x480_50p_yuv420_8b	0.001	0.21618589743589745	399360	36.6825172979092	0.018	0.00616269	0.0285743	0.0	0.0	0.0	0.0600181
C-BasketballDrill_832x480_50p_yuv420_8b	0.004	0.10833333333333334	399360	33.81510052211179	0.00708951	0.00470966	0.0278334	0.0	0.0	0.0	0.0450834
C-BasketballDrill_832x480_50p_yuv420_8b	0.02	0.04755608974358974	399360	29.67820741599884	0.00295002	0.00581443	0.0199975	0.0	0.0	0.0	0.0343135
C-PartyScene_832x480_50p_yuv420_8b	0.0001	2.0332532051282053	399360	40.33656936841952	0.0614002	0.00645971	0.0300559	0.0	0.0	0.0	0.105248
C-PartyScene_832x480_50p_yuv420_8b	0.0004	1.1509815705128206	399360	35.75824118682203	0.0542946	0.00470217	0.0284837	0.0	0.0	0.0	0.0916588
C-PartyScene_832x480_50p_yuv420_8b	0.001	0.7468149038461539	399360	32.85741971304815	0.0478911	0.00465106	0.0296842	0.0	0.0	0.0	0.0871187
C-PartyScene_832x480_50p_yuv420_8b	0.004	0.32862580128205127	399360	28.706432298573418	0.0351247	0.0045355	0.0281047	0.0	0.0	0.0	0.0722526
C-PartyScene_832x480_50p_yuv420_8b	0.02	0.09180689102564103	399360	24.430937272910043	0.00662553	0.00509791	0.0195118	0.0	0.0	0.0	0.0364452
C-RaceHorses_832x480_30p_yuv420_8b	0.0001	1.1684094551282052	399360	41.94101788079201	0.0502281	0.005014	0.0284557	0.0	0.0	0.0	0.0888153
C-RaceHorses_832x480_30p_yuv420_8b	0.0004	0.647255608974359	399360	37.87720809060527	0.0382512	0.00510401	0.028102	0.0	0.0	0.0	0.0764995
C-RaceHorses_832x480_30p_yuv420_8b	0.001	0.4040264423076923	399360	35.12019409485646	0.0315754	0.00898472	0.0292992	0.0	0.0	0.0	0.0759963
C-RaceHorses_832x480_30p_yuv420_8b	0.004	0.16498397435897436	399360	31.122930619647402	0.0149776	0.00574416	0.0281311	0.0	0.0	0.0	0.0539399
C-RaceHorses_832x480_30p_yuv420_8b	0.02	0.06067708333333333	399360	28.014881541741147	0.00312997	0.00502409	0.0204551	0.0	0.0	0.0	0.0339067
D-BQSquare_416x240_60p_yuv420_8b	0.0001	1.6807692307692308	99840	41.71485635055029	0.0143442	0.00190513	0.0052109	0.0	0.0	0.0	0.0244245
D-BQSquare_416x240_60p_yuv420_8b	0.0004	0.9662660256410256	99840	36.671663518006454	0.0115019	0.00137654	0.00491074	0.0	0.0	0.0	0.0210204
D-BQSquare_416x240_60p_yuv420_8b	0.001	0.6737179487179488	99840	34.21625815753718	0.00896754	0.0025047	0.00538057	0.0	0.0	0.0	0.0203335
D-BQSquare_416x240_60p_yuv420_8b	0.004	0.39831730769230766	99840	30.331301443797663	0.00604641	0.00137812	0.00486831	0.0	0.0	0.0	0.0143561
D-BQSquare_416x240_60p_yuv420_8b	0.02	0.15512820512820513	99840	25.190681457463345	0.00155914	0.00142286	0.00383687	0.0	0.0	0.0	0.00974573
D-BasketballPass_416x240_50p_yuv420_8b	0.0001	0.9411858974358974	99840	42.66959051584323	0.0128768	0.00187383	0.00515382	0.0	0.0	0.0	0.0228584
D-BasketballPass_416x240_50p_yuv420_8b	0.0004	0.5251602564102564	99840	38.74124794893262	0.0102001	0.00192754	0.00697984	0.0	0.0	0.0	0.0218221
