seq_name	lmbda	rate_bpp	n_pixels	h	w	n_frames	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_blend_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
C-RaceHorses_832x480_30p_yuv420_8b	0.002	0.05884515224358974	119808000	480	832	300	30.314141397855426	1.02868	0.988748	10.2997	0.0	2.6482	0.459929	16.5634
C-BasketballDrill_832x480_50p_yuv420_8b	0.002	0.036399198717948715	199680000	480	832	500	32.954903378339466	0.836287	1.62561	16.3736	0.0	4.24875	0.857586	25.5332
C-PartyScene_832x480_50p_yuv420_8b	0.002	0.046091746794871796	199680000	480	832	500	28.863891423232516	1.3224	1.36184	15.7993	0.0	4.03887	0.867148	25.1004
C-BQMall_832x480_60p_yuv420_8b	0.002	0.03576639289529915	239616000	480	832	600	32.453910275964304	1.21582	2.12203	21.5356	0.0	5.31851	1.19237	33.8693
C-RaceHorses_832x480_30p_yuv420_8b	0.0007	0.10964022435897436	119808000	480	832	300	32.478184987999875	1.72227	1.15736	10.1125	0.0	2.66052	0.499276	17.152
C-BasketballDrill_832x480_50p_yuv420_8b	0.0007	0.0561573717948718	199680000	480	832	500	34.96591038897103	1.33751	1.82925	16.5249	0.0	4.1615	0.905337	26.6066
C-PartyScene_832x480_50p_yuv420_8b	0.0007	0.08512355769230769	199680000	480	832	500	30.89149372032379	2.2797	1.8528	16.7314	0.0	4.15188	0.9159	27.6093
C-BQMall_832x480_60p_yuv420_8b	0.0007	0.056931690705128206	239616000	480	832	600	34.69594621288665	1.94533	2.03782	20.5213	0.0	5.09779	1.11439	33.0017
C-RaceHorses_832x480_30p_yuv420_8b	0.0002	0.23001903044871794	119808000	480	832	300	35.26008339212598	2.93601	1.26309	10.3583	0.0	2.72387	0.530817	18.8709
C-BasketballDrill_832x480_50p_yuv420_8b	0.0002	0.10426963141025641	199680000	480	832	500	37.59269653688078	2.50983	1.90403	16.4826	0.0	4.16342	0.914645	27.9159
C-PartyScene_832x480_50p_yuv420_8b	0.0002	0.18924270833333334	199680000	480	832	500	33.73627172172439	4.18843	1.76506	16.2386	0.0	4.08843	0.848089	29.2119
C-BQMall_832x480_60p_yuv420_8b	0.0002	0.10532124732905983	239616000	480	832	600	37.29285570918043	3.31778	2.26157	20.7503	0.0	5.15335	1.16723	34.9125
C-RaceHorses_832x480_30p_yuv420_8b	6e-05	0.47115264423076925	119808000	480	832	300	38.141881815856436	4.48992	1.25121	10.1524	0.0	2.65533	0.526228	20.1072
C-BasketballDrill_832x480_50p_yuv420_8b	6e-05	0.2035773237179487	199680000	480	832	500	40.25873658774282	3.92968	1.90294	16.156	0.0	4.1217	0.841357	29.161
C-PartyScene_832x480_50p_yuv420_8b	6e-05	0.4074038862179487	199680000	480	832	500	37.0040535353283	7.00938	1.92938	16.5807	0.0	4.12709	0.90244	32.4164
C-BQMall_832x480_60p_yuv420_8b	6e-05	0.2042125734508547	239616000	480	832	600	39.73443797048596	7.0165	2.47822	22.7123	0.0	5.57271	1.14353	41.9566
