lmbda	seq_name	n_pixels	loss	psnr_db	rate_bpp
0.0001	A1-CampfireParty_3840x2160_30p_yuv420_10b	8294400	0.095009	43.222116	0.473891
0.0004	A1-CampfireParty_3840x2160_30p_yuv420_10b	8294400	0.17287	39.595566	0.157775
0.001	A1-CampfireParty_3840x2160_30p_yuv420_10b	8294400	0.233594	38.220716	0.082958
0.004	A1-CampfireParty_3840x2160_30p_yuv420_10b	8294400	0.376437	36.206504	0.034228
0.02	A1-CampfireParty_3840x2160_30p_yuv420_10b	8294400	0.681503	33.687938	0.012687
0.0001	A1-FoodMarket4_3840x2160_60p_yuv420_10b	8294400	0.027998	46.728651	0.067588
0.0004	A1-FoodMarket4_3840x2160_60p_yuv420_10b	8294400	0.040942	46.049452	0.040268
0.001	A1-FoodMarket4_3840x2160_60p_yuv420_10b	8294400	0.057308	45.067575	0.026174
0.004	A1-FoodMarket4_3840x2160_60p_yuv420_10b	8294400	0.105931	43.167706	0.014428
0.02	A1-FoodMarket4_3840x2160_60p_yuv420_10b	8294400	0.262032	39.903631	0.007989
0.0001	A1-Tango2_3840x2160_60p_yuv420_10b	8294400	0.075014	41.92525	0.108225
0.0004	A1-Tango2_3840x2160_60p_yuv420_10b	8294400	0.096219	41.478001	0.062662
0.001	A1-Tango2_3840x2160_60p_yuv420_10b	8294400	0.126555	40.716377	0.041762
0.004	A1-Tango2_3840x2160_60p_yuv420_10b	8294400	0.205351	39.239482	0.021553
0.02	A1-Tango2_3840x2160_60p_yuv420_10b	8294400	0.415439	36.599254	0.009831
0.0001	A2-CatRobot_3840x2160_60p_yuv420_10b	8294400	0.107242	41.36896	0.342788
0.0004	A2-CatRobot_3840x2160_60p_yuv420_10b	8294400	0.157615	39.845985	0.135012
0.001	A2-CatRobot_3840x2160_60p_yuv420_10b	8294400	0.221087	38.793298	0.089058
0.004	A2-CatRobot_3840x2160_60p_yuv420_10b	8294400	0.399271	36.565622	0.044689
0.02	A2-CatRobot_3840x2160_60p_yuv420_10b	8294400	0.840654	33.370315	0.019022
0.0001	A2-DaylightRoad_3840x2160_60p_yuv420_10b	8294400	0.150322	39.351358	0.342132
0.0004	A2-DaylightRoad_3840x2160_60p_yuv420_10b	8294400	0.199709	38.298532	0.12937
0.001	A2-DaylightRoad_3840x2160_60p_yuv420_10b	8294400	0.26134	37.420795	0.080239
0.004	A2-DaylightRoad_3840x2160_60p_yuv420_10b	8294400	0.429779	35.626688	0.039011
0.02	A2-DaylightRoad_3840x2160_60p_yuv420_10b	8294400	0.808622	33.007215	0.015413
0.0001	A2-ParkRunning3_3840x2160_50p_yuv420_10b	8294400	0.110913	43.354138	0.647189
0.0004	A2-ParkRunning3_3840x2160_50p_yuv420_10b	8294400	0.237496	39.484027	0.312201
0.001	A2-ParkRunning3_3840x2160_50p_yuv420_10b	8294400	0.374183	37.127471	0.180428
0.004	A2-ParkRunning3_3840x2160_50p_yuv420_10b	8294400	0.710549	33.99956	0.0781
0.02	A2-ParkRunning3_3840x2160_50p_yuv420_10b	8294400	1.412999	30.669821	0.027796
0.0001	B-BQTerrace_1920x1080_50p_yuv420_8b	2073600	0.18167	41.080519	1.036964
0.0004	B-BQTerrace_1920x1080_50p_yuv420_8b	2073600	0.381795	37.442574	0.504001
0.001	B-BQTerrace_1920x1080_50p_yuv420_8b	2073600	0.613408	35.238942	0.314108
0.004	B-BQTerrace_1920x1080_50p_yuv420_8b	2073600	1.213923	31.930167	0.143185
0.02	B-BQTerrace_1920x1080_50p_yuv420_8b	2073600	2.59352	28.169133	0.053458
0.0001	B-BasketballDrive_1920x1080_50p_yuv420_8b	2073600	0.098182	41.729267	0.310275
0.0004	B-BasketballDrive_1920x1080_50p_yuv420_8b	2073600	0.155996	39.976233	0.138618
0.001	B-BasketballDrive_1920x1080_50p_yuv420_8b	2073600	0.217923	38.798013	0.086037
0.004	B-BasketballDrive_1920x1080_50p_yuv420_8b	2073600	0.386137	36.684389	0.042893
0.02	B-BasketballDrive_1920x1080_50p_yuv420_8b	2073600	0.823946	33.564638	0.019193
0.0001	B-Cactus_1920x1080_50p_yuv420_8b	2073600	0.16238	40.4776	0.727943
0.0004	B-Cactus_1920x1080_50p_yuv420_8b	2073600	0.291127	37.925227	0.324714
0.001	B-Cactus_1920x1080_50p_yuv420_8b	2073600	0.428039	36.255231	0.191187
0.004	B-Cactus_1920x1080_50p_yuv420_8b	2073600	0.808131	33.444607	0.088928
0.02	B-Cactus_1920x1080_50p_yuv420_8b	2073600	1.638755	30.263259	0.034879
0.0001	B-MarketPlace_1920x1080_60p_yuv420_10b	2073600	0.097983	42.553078	0.424318
