lmbda	seq_name	n_pixels	loss	psnr_db	rate_bpp
0.0001	kodim01	393216	0.292755	40.779605	2.091868
0.0004	kodim01	393216	0.75858	35.780223	1.235882
0.001	kodim01	393216	1.364307	32.263662	0.770516
0.004	kodim01	393216	2.815878	28.11816	0.318381
0.02	kodim01	393216	5.365834	24.650199	0.096916
0.0001	kodim02	393216	0.178959	41.225032	1.035372
0.0004	kodim02	393216	0.38351	37.111454	0.472598
0.001	kodim02	393216	0.59545	34.818557	0.26573
0.004	kodim02	393216	1.075091	31.859888	0.105861
0.02	kodim02	393216	2.098487	29.373489	0.047165
0.0001	kodim03	393216	0.120394	42.865937	0.687042
0.0004	kodim03	393216	0.259017	39.476203	0.365496
0.001	kodim03	393216	0.425608	37.10997	0.23107
0.004	kodim03	393216	0.897395	33.42202	0.110655
0.02	kodim03	393216	1.972272	30.072571	0.049442
0.0001	kodim04	393216	0.188704	41.147804	1.119291
0.0004	kodim04	393216	0.407041	37.272079	0.549079
0.001	kodim04	393216	0.649733	34.758238	0.315403
0.004	kodim04	393216	1.211171	31.638996	0.131381
0.02	kodim04	393216	2.519659	28.73104	0.059015
0.0001	kodim05	393216	0.281302	40.938131	2.007293
0.0004	kodim05	393216	0.724799	36.274964	1.222553
0.001	kodim05	393216	1.314906	33.278164	0.844813
0.004	kodim05	393216	3.003548	28.752963	0.417734
0.02	kodim05	393216	6.85157	24.318199	0.157588
0.0001	kodim06	393216	0.23502	41.215951	1.594401
0.0004	kodim06	393216	0.581342	36.634244	0.910711
0.001	kodim06	393216	1.01987	33.703561	0.59364
0.004	kodim06	393216	2.170838	29.554391	0.265696
0.02	kodim06	393216	4.381688	25.778929	0.086931
0.0001	kodim07	393216	0.139737	42.609679	0.849051
0.0004	kodim07	393216	0.310809	39.265236	0.480939
0.001	kodim07	393216	0.522714	36.770715	0.312371
0.004	kodim07	393216	1.200603	32.789335	0.168626
0.02	kodim07	393216	2.992755	28.837366	0.08429
0.0001	kodim08	393216	0.304953	40.216597	2.098185
