seq_name	lmbda	rate_bpp	n_pixels	h	w	n_frames	psnr_db
C-RaceHorses_832x480_30p_yuv420_8b	0.002	0.059436966	119808000	480	832	300	30.66299572
C-BasketballDrill_832x480_50p_yuv420_8b	0.002	0.036026883	199680000	480	832	500	33.3704699
C-PartyScene_832x480_50p_yuv420_8b	0.002	0.046319511	199680000	480	832	500	29.92922466
C-BQMall_832x480_60p_yuv420_8b	0.002	0.035281951	239616000	480	832	600	33.02308035
C-RaceHorses_832x480_30p_yuv420_8b	0.0007	0.105170072	119808000	480	832	300	32.94203508
C-BasketballDrill_832x480_50p_yuv420_8b	0.0007	0.054041667	199680000	480	832	500	35.51053016
C-PartyScene_832x480_50p_yuv420_8b	0.0007	0.079176162	199680000	480	832	500	32.34868859
C-BQMall_832x480_60p_yuv420_8b	0.0007	0.054034622	239616000	480	832	600	35.39295743
C-RaceHorses_832x480_30p_yuv420_8b	0.0002	0.206652911	119808000	480	832	300	35.7122696
C-BasketballDrill_832x480_50p_yuv420_8b	0.0002	0.096246675	199680000	480	832	500	38.21121219
C-PartyScene_832x480_50p_yuv420_8b	0.0002	0.151171234	199680000	480	832	500	35.0701777
C-BQMall_832x480_60p_yuv420_8b	0.0002	0.095335103	239616000	480	832	600	38.0430138
C-RaceHorses_832x480_30p_yuv420_8b	6.00E-05	0.413386952	119808000	480	832	300	38.3440423
C-BasketballDrill_832x480_50p_yuv420_8b	6.00E-05	0.178217668	199680000	480	832	500	40.78993431
C-PartyScene_832x480_50p_yuv420_8b	6.00E-05	0.301650681	199680000	480	832	500	37.77995378
C-BQMall_832x480_60p_yuv420_8b	6.00E-05	0.172704026	239616000	480	832	600	40.24613969
